Mega process,Process
Organisation,ORG1-presidence/codir
Organisation,ORG2-comop
Organisation,ORG3-powers of delegation
Organisation,ORG4-ethique
Strategy and control,STR1-budget
Strategy and control,STR2-strategic plans
Strategy and control,STR3-gestion des risques
Ventes,VEN1-base clients
Ventes,VEN2-commercial activities
Ventes,VEN3-marketing
Ventes,VEN4-commandes clients
Ventes,VEN5-facturation clients
Ventes,VEN6-soldes clients
Ventes,VEN6-customer credit
Ventes,VEN7-reclamations produits
Logistique,LOG1-planif prod
Logistique,LOG2-organisation livraisons
Logistique,LOG3-transporteurs
Logistique,LOG4-service claims
