Mega process,Process
Organisation,ORG1-presidence/codir
Organisation,ORG2-comop
Organisation,ORG3-délegations de pouvoirs
Organisation,ORG4-ethique
Stratégie et contrôle,STR1-budget
Stratégie et contrôle,STR2-plans stratégqiues
Stratégie et contrôle,STR3-gestion des risques
Ventes,VEN1-base clients
Ventes,VEN2-activités commerciales
Ventes,VEN3-marketing
Ventes,VEN4-commandes clients
Ventes,VEN5-facturation clients
Ventes,VEN6-soldes clients
Ventes,VEN6-crédit clients
Ventes,VEN7-reclamations produits
Logistique,LOG1-planif prod
Logistique,LOG2-organisation livraisons
Logistique,LOG3-transporteurs
Logistique,LOG4-réclamations services
